"num";"name";"slug";"uri";"name_russian";"name_kazakh";"user_russian";"user_kazakh";"duration_russian";"duration_kazakh";"scenes_russian";"scenes_kazakh";"completed_russian";"completed_kazakh";"voice_russian";"voice_kazakh";"celebrity_house";"program_no";"num_in_program";"comp_russian";"comp_kazakh";"mix_russian";"mix_kazakh";"seq_russian";"seq_kazakh"
"1";"Абай Кунанбаев";"abaj-kunanbaev";"http://aroslanov.com/api/celebrity/abaj-kunanbaev";"Абай Кунанбаев";"";"Сергей Ким";"Майра Тургинбаева";"80483";"81549";"8";"8";"true";"true";"8";"8";"euro_France_Vari_Kyri_1800-1900.psd";"1";"2";"00001_aristotel_abaj-kunanbaev_ashoka_00-05-47-15_russian.nk";"00001_aristotel_abaj-kunanbaev_ashoka_00-05-49-25_kazakh.nk";"00001_aristotel_abaj-kunanbaev_ashoka_russian_mix.wav";"00001_aristotel_abaj-kunanbaev_ashoka_kazakh_mix.wav";"";""
"2";"Абель Тасман";"abel-tasman";"http://aroslanov.com/api/celebrity/abel-tasman";"Абель Тасман";"";"Айгерим Оспанова";"";"81549";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"3";"Абильхан Кастеев";"abilhan-kasteev";"http://aroslanov.com/api/celebrity/abilhan-kasteev";"Абильхан Кастеев";"";"Дария Ибрагимова";"";"10660";"0";"1";"0";"false";"false";"0";"0";"";"";"";"";"";"";"";"";""
"4";"Аблай-хан";"ablaj-han";"http://aroslanov.com/api/celebrity/ablaj-han";"Аблай-хан";"";"Дария Ибрагимова";"";"7462";"0";"1";"0";"false";"false";"0";"0";"";"";"";"";"";"";"";"";""
"5";"Абрам Иоффе";"abram-ioffe";"http://aroslanov.com/api/celebrity/abram-ioffe";"Абрам Иоффе";"";"Лия Будиянская";"Майра Тургинбаева";"81549";"78884";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"6";"Абу Али Хусейн ибн Сина";"abu-ali-husejn-ibn-sina";"http://aroslanov.com/api/celebrity/abu-ali-husejn-ibn-sina";"Абу Али Хусейн ибн Сина";"";"Ирина Староверова";"Майра Тургинбаева";"78884";"81549";"9";"9";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"7";"Авл Корнелий Цельс";"avl-kornelij-cels";"http://aroslanov.com/api/celebrity/avl-kornelij-cels";"Авл Корнелий Цельс";"";"Наталья Няшина";"Майра Тургинбаева";"78351";"79417";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"8";"Авраам Линкольн";"avraam-linkoln";"http://aroslanov.com/api/celebrity/avraam-linkoln";"Авраам Линкольн";"";"Ирина Староверова";"Зоя Койшыбаева";"77285";"77285";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"9";"Агамемнон";"agamemnon";"http://aroslanov.com/api/celebrity/agamemnon";"Агамемнон";"";"Наталья Няшина";"Майра Тургинбаева";"78884";"81016";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"10";"Айтеке би Байбекулы";"ajteke-bi-bajbekuly";"http://aroslanov.com/api/celebrity/ajteke-bi-bajbekuly";"Айтеке би Байбекулы";"";"Лия Будиянская";"Майра Тургинбаева";"82615";"82082";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
